"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
682,21,"Women","QB","J1K","No",6,7,8,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
683,42,"Men","QB","H1K","No",6,4,4,0,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
684,31,"Men","QB","H3S","Yes",9,10,9,NA,"$60,000 to $89,999","Very Satisfied","Got better","Got better","No"
685,43,"Women","BC","V4C","Yes",9,9,7,2,"$110,000 to $149,999","Very Satisfied","Got better","Got better","No"
686,34,"Men","ON","M2J","Yes",8,3,9,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
687,40,"Women","ON","L6P","Yes",8,7,9,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
688,39,"Women","ON","N8Y","No",3,3,9,2,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","Yes"
689,27,"Women","BC","V4N","No",7,6,7,0,"$150,000 to $199,999","Fairly Neutral","Got better","Stayed about the same","No"
690,57,"Women","ON","M5V","Yes",0,0,9,1,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
691,37,"Men","ON","N3P","Yes",7,7,9,1,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
692,38,"Women","AB","T5T","No",8,9,4,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","Prefer not to say"
693,31,"Women","QB","H7C","Yes",8,8,6,1,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
694,39,"Men","ON","K2M","No",6,5,10,2,"$60,000 to $89,999","Neutral","Don't know","Don't know","No"
695,24,"Women","ON","M5J","Yes",8,3,10,0,"$90,000 to $109,999","Not very satisfied","Got worse","Stayed about the same","No"
696,23,"Women","QB","H7P","No",4,6,9,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
697,31,"Men","AB","T9J","No",8,8,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
698,23,"Women","BC","V9C","Yes",7,6,9,0,"$60,000 to $89,999","Neutral","Don't know","Got worse","No"
699,32,"Men","QB","H2A","Yes",9,9,10,2,"$200,000 or more","Very Satisfied","Got better","Got better","No"
700,32,"Men","ON","P1H","No",6,1,7,NA,"$60,000 to $89,999","Not at all satisfied","Got better","Got worse","No"
701,25,"Men","QB","J5Z","No",10,8,4,0,"$30,000 to $59,999","Not very satisfied","Got better","Got better","No"
702,19,"Men","ON","M1E","Prefer not to say",9,9,10,NA,"$60,000 to $89,999","Prefer not to say","Got better","Got better","Prefer not to say"
703,33,"Men","AB","T6V","Yes",7,5,9,0,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
704,22,"Men","ON","N5C","No",8,8,7,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
705,22,NA,"AB","T6X","No",3,3,8,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","Yes"
706,37,"Men","AB","T1Y","Yes",7,2,9,0,"$200,000 or more","Not at all satisfied","Got worse","Got worse","No"
707,31,"Women","ON","M5T","Yes",6,7,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
708,19,"Women","ON","M9R","No",8,9,5,2,"Less than $30,000","Neutral","Got worse","Got worse","Yes"
709,28,"Women","ON","N5X","Yes",8,3,5,1,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got worse","No"
710,32,"Men","BC","V9T","Yes",10,10,9,0,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","Yes"
711,20,"Women","QB","J8E","No",4,5,5,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Stayed about the same","No"
712,31,"Women","QB","J7Z","No",3,4,4,NA,"Less than $30,000","Don't know","Don't know","Don't know","No"
713,32,"Men","PE","C1A","Yes",8,9,11,1,"$90,000 to $109,999","Fairly Neutral","Got better","Stayed about the same","No"
714,20,"Men","QB","J2G","Yes",8,7,8,0,"$110,000 to $149,999","Neutral","Got better","Stayed about the same","No"
715,27,"Men","AB","T6X","No",5,5,9,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","No"
716,19,"Men","ON","M2K","Yes",9,6,9,NA,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
717,27,"Men","QB","J3V","Yes",8,6,6,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got better","No"
718,33,"Women","NB","E1A","No",2,1,7,2,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
719,39,"Men","QB","J6S","Yes",9,9,11,NA,"Less than $30,000","Fairly Neutral","Got better","Stayed about the same","No"
720,22,"Men","ON","M3C","Yes",8,7,9,0,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","No"
721,21,"Women","QB","G1V","Yes",9,9,8,0,"Less than $30,000","Very Satisfied","Stayed about the same","Got better","No"
722,37,"Men","ON","M4L","Yes",10,5,11,0,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
723,42,"Men","ON","N6E","Yes",7,5,6,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
724,24,"Men","MN","R2G","Yes",9,5,8,0,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
725,42,"Men","NS","B2Y","Yes",8,8,9,4,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
726,35,"Men","BC","V3R","Yes",8,8,6,NA,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","Yes"
727,28,"Men","ON","L4B","No",5,5,9,0,"$90,000 to $109,999","Neutral","Got worse","Don't know","No"
728,32,"Men","ON","N6E","No",7,6,7,NA,"$30,000 to $59,999","Not at all satisfied","Stayed about the same","Stayed about the same","Yes"
729,20,"Women","QB","H7R","No",8,8,13,3,"$60,000 to $89,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
730,23,"Men","ON","L3R","Yes",10,0,9,NA,"$110,000 to $149,999","Very Satisfied","Got worse","Stayed about the same","No"
731,28,"Women","ON","M5N","No",8,8,2,NA,"$90,000 to $109,999","Very Satisfied","Stayed about the same","Got worse","No"
732,26,"Women","ON","L6H","Yes",9,8,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
733,21,"Men","AB","T2Y","No",4,4,8,0,"Prefer not to say","Not very satisfied","Got worse","Got worse","No"
734,44,"Women","AB","T8V","No",6,5,9,1,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
735,22,"Men","ON","L4P","Yes",4,7,5,2,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","Yes"
736,41,"Women","QB","J1G","No",2,3,4,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","Yes"
737,27,"Men","QB","J8V","Yes",6,7,5,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
738,23,"Men","MN","R2K","No",8,4,5,1,"$30,000 to $59,999","Neutral","Got better","Stayed about the same","No"
739,33,"Men","AB","T5N","Prefer not to say",4,4,7,0,"$90,000 to $109,999","Neutral","Prefer not to say","Prefer not to say","No"
740,42,"Women","ON","L4K","Yes",10,3,9,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
741,37,"Women","ON","M6M","No",2,8,7,1,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
742,26,"Men","AB","T3H","No",10,8,9,0,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
743,38,"Women","BC","V1J","Yes",8,8,5,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got worse","No"
744,31,"Women","BC","V5H","No",4,4,6,0,"$30,000 to $59,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
745,22,"Women","ON","K7A","Prefer not to say",8,10,9,0,"$30,000 to $59,999","Don't know","Don't know","Stayed about the same","No"
746,35,"Men","BC","V5B","Yes",7,8,9,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got better","No"
747,22,"Men","ON","M1T","No",8,7,5,NA,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
748,33,"Men","AB","T2K","No",5,6,4,0,"Prefer not to say","Don't know","Got worse","Got worse","No"
749,18,"Men","AB","T1W","No",7,5,8,1,"$30,000 to $59,999","Very Satisfied","Got worse","Stayed about the same","No"
750,32,"Women","QB","J4J","Yes",6,5,11,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
751,44,"Women","QB","H1B","Yes",7,3,5,1,"$110,000 to $149,999","Don't know","Don't know","Don't know","No"
752,43,"Men","QB","G5Z","No",10,5,5,0,"$60,000 to $89,999","Not very satisfied","Don't know","Stayed about the same","No"
753,19,"Men","ON","L5V","No",6,7,9,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
754,19,"Men","ON","L0K","No",7,5,5,2,"$90,000 to $109,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
755,43,"Men","ON","K1S","Yes",8,9,7,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
756,23,"Women","ON","P3E","No",10,4,9,NA,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
757,28,"Men","ON","N5A","Yes",8,8,10,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
758,35,"Men","ON","L4H","Yes",7,3,10,NA,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
759,42,"Women","ON","N8T","Yes",7,4,7,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
760,21,"Women","ON","K1N","No",7,5,8,0,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
761,33,"Women","QB","J0L","Yes",5,5,9,4,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
762,44,"Women","QB","J7J","Yes",3,3,8,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
763,26,"Men","QB","J7Z","No",8,8,5,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Don't know","No"
764,40,"Men","QB","G1L","Yes",8,8,4,NA,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
765,39,"Women","ON","L6M","Yes",9,9,9,4,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
766,24,"Women","ON","K9H","No",6,6,9,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
767,22,"Men","QB","H1A","Yes",8,9,11,1,"$60,000 to $89,999","Very Satisfied","Got better","Got better","Yes"
768,34,"Men","ON","L4L","No",5,6,9,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
769,39,"Men","QB","J8E","Yes",5,5,5,NA,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
770,34,"Women","BC","V9R","Yes",10,8,10,NA,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
771,31,"Women","ON","L4L","Yes",4,3,7,2,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
772,27,"Men","SK","S4N","Yes",9,9,7,1,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
773,19,"Women","ON","L1G","Yes",8,7,6,0,"Prefer not to say","Neutral","Stayed about the same","Stayed about the same","No"
774,27,"Men","ON","M1E","Yes",9,9,5,0,"$150,000 to $199,999","Very Satisfied","Got better","Got better","Yes"
775,40,"Women","ON","L7G","No",8,7,10,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
776,39,"Women","QB","J2H","Yes",7,8,5,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
777,43,"Women","BC","V0H","No",9,8,5,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
778,30,"Women","QB","G6C","Yes",10,10,9,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
779,22,"Women","ON","N8H","Prefer not to say",5,3,4,0,"$30,000 to $59,999","Neutral","Don't know","Don't know","No"
780,19,"Men","ON","K6H","No",10,10,1,0,"Less than $30,000","Don't know","Got better","Got better","Yes"
781,37,"Men","BC","V3W","Yes",9,7,7,1,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
782,33,"Men","QB","J0K","Yes",9,9,7,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
783,22,"Men","QB","H1A","Yes",9,9,11,1,"$150,000 to $199,999","Very Satisfied","Got better","Got better","No"
784,22,"Men","ON","L8V","Yes",6,0,7,0,"Less than $30,000","Don't know","Got worse","Got worse","No"
785,22,"Women","BC","V4M","Yes",10,1,6,NA,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
786,32,"Men","QB","G7H","No",5,5,5,NA,"Less than $30,000","Very Satisfied","Got worse","Stayed about the same","No"
787,20,NA,"QB","J8P","Yes",8,8,5,NA,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
788,30,"Men","BC","V3B","Yes",6,7,9,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
789,23,NA,"ON","L4J","Yes",5,5,9,NA,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
790,22,"Men","ON","L3T","Prefer not to say",8,6,7,0,"Prefer not to say","Neutral","Don't know","Got worse","No"
791,31,"Men","QB","G0G","Yes",8,7,6,2,"$110,000 to $149,999","Neutral","Don't know","Stayed about the same","No"
792,21,"Men","ON","L8H","Yes",6,4,7,0,"$30,000 to $59,999","Very Satisfied","Stayed about the same","Got worse","No"
793,23,"Men","AB","T3G","Yes",9,3,8,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
794,31,"Men","QB","J3Y","Yes",8,7,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
795,25,"Men","QB","H7W","Yes",4,4,8,NA,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","No"
796,28,"Men","QB","H7C","No",6,7,8,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
797,33,"Men","QB","G1G","Yes",9,8,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
798,28,"Men","QB","G6W","No",5,6,8,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
799,53,"Women","NL","A0H","Yes",9,9,7,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","No"
800,51,"Women","NL","A2N","Yes",8,8,6,1,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
801,72,"Men","NB","E1A","Yes",10,5,5,NA,"$30,000 to $59,999","Neutral","Don't know","Got better","No"
802,46,"Men","ON","L2M","No",5,7,5,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
803,51,"Women","ON","L9T","No",8,3,9,0,"$110,000 to $149,999","Neutral","Got worse","Don't know","No"
804,48,"Men","ON","L1T","Yes",9,8,9,NA,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
805,46,"Women","ON","N2P","No",7,2,7,2,"$200,000 or more","Neutral","Got worse","Got worse","No"
806,51,"Men","NB","E6L","Yes",10,5,7,0,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No"
807,52,"Women","NB","E2L","Yes",9,9,9,0,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
808,45,"Women","ON","M1W","Yes",10,10,10,0,"Prefer not to say","Very Satisfied","Got worse","Got worse","No"
809,49,"Women","SK","S0K","Yes",4,2,7,0,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
810,45,"Women","MN","R2K","No",6,0,6,0,"Prefer not to say","Neutral","Got worse","Got worse","No"
811,50,"Women","NL","A0A","No",6,2,7,0,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
812,46,"Men","ON","K2S","Yes",8,9,9,0,"$150,000 to $199,999","Very Satisfied","Got worse","Got worse","No"
813,46,"Men","MN","R3G","No",10,7,4,0,"$30,000 to $59,999","Don't know","Stayed about the same","Stayed about the same","No"
814,50,"Women","ON","K0C","Yes",9,8,7,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
815,53,"Men","ON","K6V","Yes",9,8,11,1,"$150,000 to $199,999","Very Satisfied","Got worse","Stayed about the same","No"
816,48,"Women","BC","V6Y","No",5,0,9,0,"Prefer not to say","Not at all satisfied","Got worse","Stayed about the same","No"
817,54,"Women","ON","N4G","No",7,8,6,1,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
818,47,"Women","AB","T5T","No",7,0,6,NA,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
819,51,"Men","MN","R3K","Yes",8,4,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
820,48,"Men","ON","L9T","Yes",10,10,7,1,"$60,000 to $89,999","Very Satisfied","Got better","Got better","No"
821,48,"Men","ON","K4K","Yes",5,5,6,3,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
822,54,"Men","BC","V5H","No",5,6,7,0,"$200,000 or more","Neutral","Got worse","Got worse","No"
823,45,"Women","ON","M2J","Yes",6,2,10,2,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
824,49,"Women","AB","T5R","No",8,8,8,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got worse","No"
825,49,"Men","NB","E2J","Yes",8,8,8,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
826,50,"Women","NS","B0P","Yes",7,5,5,0,"$90,000 to $109,999","Don't know","Got worse","Stayed about the same","No"
827,75,"Women","AB","T8A","Yes",8,7,5,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
828,47,"Women","BC","V6J","No",6,3,13,0,"Prefer not to say","Not at all satisfied","Don't know","Got worse","Prefer not to say"
829,47,"Women","NL","A1V","No",8,8,10,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
830,45,"Men","ON","L8V","Yes",5,5,11,1,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
831,52,"Men","ON","L3X","No",6,6,9,1,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
832,50,"Women","NB","E2E","Yes",9,8,10,1,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
833,47,"Men","BC","V4S","No",8,6,7,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
834,50,"Women","ON","N3L","Yes",8,4,10,0,"$150,000 to $199,999","Neutral","Got worse","Got worse","No"
835,47,"Women","ON","L8V","Yes",9,6,7,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
836,47,"Men","ON","M3J","Yes",10,4,5,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
837,48,"Men","ON","L8N","Yes",6,6,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
838,50,"Men","BC","V3S","No",5,5,11,NA,"$110,000 to $149,999","Don't know","Don't know","Don't know","No"
839,45,"Men","ON","N7S","No",8,8,7,2,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
840,46,"Men","NS","B0P","Don't Know",4,4,2,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
841,52,"Men","ON","P6B","Yes",9,9,9,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
842,52,"Men","NS","B3A","No",6,8,7,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
843,50,"Men","NL","A0E","Don't Know",8,8,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
844,45,"Women","ON","K4A","Yes",5,0,9,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
845,47,"Women","NL","A0H","Don't Know",8,0,4,0,"$110,000 to $149,999","Don't know","Don't know","Stayed about the same","Yes"
846,46,"Men","SK","S7N","No",8,8,11,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
847,45,"Men","NS","B2H","Yes",8,7,5,1,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
848,54,"Women","ON","L8V","Yes",8,8,7,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
849,48,"Men","ON","N0G","Yes",10,10,9,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
850,48,"Women","ON","L5A","Yes",9,9,6,1,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
851,45,"Men","MN","R2G","Yes",6,3,9,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
852,50,"Men","BC","V3N","No",6,5,5,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
853,51,"Women","ON","P2A","Yes",10,5,9,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Stayed about the same","No"
854,53,"Women","BC","V7C","Yes",8,7,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
855,53,"Women","BC","V0G","No",5,5,7,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
856,51,"Women","AB","T5M","Yes",9,9,10,2,"$110,000 to $149,999","Very Satisfied","Got worse","Got worse","No"
857,45,"Men","ON","L6X","Yes",8,9,3,NA,"$30,000 to $59,999","Very Satisfied","Stayed about the same","Got better","No"
858,45,"Men","ON","P1A","Yes",8,5,4,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
859,53,"Men","MN","R3C","Yes",3,4,9,NA,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
860,52,"Men","AB","T2A","No",5,4,5,NA,"Less than $30,000","Neutral","Got worse","Stayed about the same","No"
861,50,"Men","ON","L4E","Yes",10,10,9,1,"$150,000 to $199,999","Neutral","Stayed about the same","Got better","No"
862,53,"Women","NB","E1A","No",4,7,6,NA,"Less than $30,000","Very Satisfied","Got worse","Got worse","No"
863,52,"Men","MN","R0K","No",5,4,8,0,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No"
864,46,"Women","AB","T5T","Yes",8,8,9,1,"$110,000 to $149,999","Not at all satisfied","Got better","Got better","No"
865,54,"Men","NB","E1C","Yes",0,0,8,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
866,45,"Women","NL","A1L","Yes",8,3,7,NA,"$60,000 to $89,999","Don't know","Got worse","Got worse","No"
867,47,"Men","ON","N5P","Yes",8,5,5,NA,"Less than $30,000","Neutral","Got worse","Stayed about the same","No"
868,45,"Women","ON","M4S","No",8,6,9,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
869,54,"Men","ON","L4Z","Yes",5,6,10,1,"$150,000 to $199,999","Neutral","Got worse","Got worse","No"
870,51,"Women","NB","E3A","Prefer not to say",4,4,5,0,"Prefer not to say","Neutral","Stayed about the same","Stayed about the same","No"
871,48,"Women","AB","T3M","Yes",8,6,9,1,"$60,000 to $89,999","Very Satisfied","Don't know","Don't know","No"
872,51,"Women","BC","V6B","Yes",2,4,5,NA,"Less than $30,000","Very Satisfied","Don't know","Got worse","No"
873,52,"Men","ON","N1S","Yes",9,5,7,0,"$200,000 or more","Fairly Neutral","Don't know","Don't know","No"
874,48,"Men","ON","M9N","Yes",6,7,5,NA,"$30,000 to $59,999","Neutral","Got better","Got better","No"
875,51,"Men","NS","B3M","Yes",5,6,9,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
876,45,"Women","ON","L5A","No",6,8,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","Yes"
877,53,"Men","ON","M4K","Yes",3,1,4,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
878,49,"Women","NB","E3N","Yes",10,4,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
879,47,"Men","ON","M1T","Yes",3,4,6,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
880,36,"Men","SK","S7M","No",7,7,5,1,"$110,000 to $149,999","Fairly Neutral","Got better","Stayed about the same","No"
881,45,"Women","ON","N2T","No",9,8,11,0,"$60,000 to $89,999","Very Satisfied","Got worse","Stayed about the same","No"
882,54,"Women","ON","L6H","Yes",9,7,5,1,"$30,000 to $59,999","Very Satisfied","Got worse","Stayed about the same","No"
883,54,"Men","BC","V9H","Yes",9,9,5,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
884,50,"Men","NB","E1B","Yes",3,7,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
885,50,"Men","ON","L4A","Yes",5,0,8,1,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
886,51,"Men","NS","B4E","Yes",8,5,6,NA,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
887,50,"Men","AB","T1Y","Yes",8,2,8,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
888,46,"Women","ON","N0E","No",10,0,5,2,"$110,000 to $149,999","Not very satisfied","Got worse","Stayed about the same","No"
889,48,"Men","NL","A2N","Yes",7,7,5,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
890,49,"Women","ON","K6H","No",7,9,7,1,"Less than $30,000","Very Satisfied","Stayed about the same","Got better","Yes"
891,45,"Women","BC","V3S","Yes",9,3,6,2,"$90,000 to $109,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
892,51,"Women","ON","M4X","Yes",3,4,11,1,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
893,49,"Women","ON","N0B","Yes",8,3,7,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
894,52,"Men","BC","V0C","Yes",2,5,5,NA,"Less than $30,000","Fairly Neutral","Got worse","Stayed about the same","No"
895,47,"Women","AB","T8V","Yes",9,7,7,0,"$150,000 to $199,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
896,46,"Men","BC","V5Y","Yes",6,5,9,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
897,52,"Women","ON","N1H","Yes",8,3,10,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
898,49,"Women","ON","L0K","Yes",10,7,11,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
899,48,"Women","MN","R2H","No",5,2,6,0,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
900,54,"Women","ON","N3T","Yes",8,5,7,NA,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
901,52,"Men","ON","L6S","Yes",6,5,7,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
902,54,"Women","ON","N5X","No",7,7,7,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
903,51,"Women","ON","L5E","Yes",8,7,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Don't know","No"
904,53,"Men","NB","E3A","No",9,10,7,0,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
905,51,"Women","ON","K0H","No",10,10,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
906,51,"Women","AB","T2J","No",7,7,5,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
907,50,"Women","AB","T3G","Yes",8,8,9,2,"$150,000 to $199,999","Very Satisfied","Got worse","Got worse","No"
908,52,"Women","ON","L4Z","No",8,8,8,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Don't know","No"
